authors,title,description,copies,publisher,pages,isbn10,kind,image,durataprestito,condizioniestensione
Jon Krakauer,Into the Wild,"In April 1992 a young man from a well-to-do family hitchhiked to Alaska and walked alone into the wilderness north of Mt. McKinley. His name was Christopher Johnson McCandless. He had given $25,000 in savings to charity, abandoned his car and most of his possessions, burned all the cash in his wallet, and invented a new life for himself. Four months later, his decomposed body was found by a moose hunter. How McCandless came to die is the unforgettable story of Into the Wild. Immediately after graduating from college in 1991, McCandless had roamed through the West and Southwest on a vision quest like those made by his heroes Jack London and John Muir. In the Mojave Desert he abandoned his car, stripped it of its license plates, and burned all of his cash. He would give himself a new name, Alexander Supertramp, and , unencumbered by money and belongings, he would be free to wallow in the raw, unfiltered experiences that nature presented. Craving a blank spot on the map, McCandless simply threw the maps away. Leaving behind his desperate parents and sister, he vanished into the wild. Jon Krakauer constructs a clarifying prism through which he reassembles the disquieting facts of McCandless's short life. Admitting an interst that borders on obsession, he searches for the clues to the dries and desires that propelled McCandless. Digging deeply, he takes an inherently compelling mystery and unravels the larger riddles it holds: the profound pull of the American wilderness on our imagination; the allure of high-risk activities to young men of a certain cast of mind; the complex, charged bond between fathers and sons. When McCandless's innocent mistakes turn out to be irreversible and fatal, he becomes the stuff of tabloid headlines and is dismissed for his naiveté, pretensions, and hubris. He is said to have had a death wish but wanting to die is a very different thing from being compelled to look over the edge. Krakauer brings McCandless's uncompromising pilgrimage out of the shadows, and the peril, adversity , and renunciation sought by this enigmatic young man are illuminated with a rare understanding--and not an ounce of sentimentality. Mesmerizing, heartbreaking, Into the Wild is a tour de force. The power and luminosity of Jon Krakauer's stoytelling blaze through every page. From the Trade Paperback edition.",5,Anchor,240,3074768637,avventura,/copertina libri/IntoTheWild.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Anna Banti,Zanna Bianca,"Zanna Bianca, il protagonista del romanzo, è l’unico di quattro cuccioli che riesce a sopravvivere in una grotta dello Yukon, sopra un torrente, lontano da ovunque. Dentro la tana inaccessibile, il piccolo lupo viene al mondo generato da colei che viene semplicemente presentata come ‘la lupa’ e la prima parte del libro lascia in questa sospensione il lettore per condurlo sulla pista dei valori ‘primordiali’, senza nomi e cognomi. È come se London volesse sfruttare un archetipo e i suoi simboli; solo in seguito scopriamo che ‘la lupa’ è Kiche, figlia di un lupo e di un cane, una femmina agguerrita e astuta, già di proprietà del capotribù Castoro Grigio. […] Zanna Bianca nasce nel Wild e nasce lupo con dentro il codice genetico del cane: quest’altro archetipo alla fine prevarrà dopo una lunga storia formativa fatta di durezza e amore, rinuncia e crudeltà. Anche il padre di Zanna Bianca è un archetipo, ma il vecchio lupo grigio Occhio Solo, sopravvissuto a mille battaglie e alla furia della natura selvaggia, diventa il simbolo della vita che sopravvive a se stessa, del Wild che scorre dalle generazioni che lo hanno preceduto a quelle future.",5,Giunti Junior,150,8809754042,avventura,/copertina libri/ZannaBianca.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Mark Twain,Le avventure di Huckleberry Finn,"“La storia di Huck e della sua fuga in zattera lungo il Mississippi con il negro Jim, fino al ricongiungimento col compagno di scorrerie Tom Sawyer negli ultimi capitoli di un libro che nacque come proseguimento del precedente Le avventure di Tom Sawyer era tra le preferite di Ernest Hemingway, che citava sempre Mark Twain tra i suoi autori fondamentali: e non a caso, naturalmente, visto che fin dai suoi esordi anche l’autore di Fiesta lavorò molto duramente per riuscire a ricreare sulla pagina la lingua della strada, cosa per cui venne assai criticato. Molti, tra cui Joyce Carol Oates, considerano Le avventure di Huckleberry Finn “Il Grande Romanzo Americano”. Altri, come Thomas Stearns Eliot, lo considerano l’unico vero capolavoro di Mark Twain. Di sicuro Le avventure di Huckleberry Finn è un romanzo-mondo, scritto superbamente, e divertentissimo. Huck Finn, in quanto ribelle adolescente refrattario a qualsiasi forma di autorità e di imposizione, sta all’origine di Holden Caulfield e di tutti i ribelli adolescenti della letteratura nordamericana. E il fiume Mississippi, che Twain conobbe a fondo in gioventù per averci lavorato come pilota su un battello, è al tempo stesso uno dei protagonisti principali del libro e una metafora. Ma la storia di Huck Finn e del suo lungo viaggio, al termine del quale l’ormai ex ragazzino verrà a sapere della morte del padre e però subito progetterà di ripartire con i suoi compagni d’avventura (questa volta per i Territori Indiani) è anche una grande satira sulla democrazia americana e sugli americani, in genere timorati di Dio ma sempre felici di impiccare un negro (e quando si parla di leggi razziali bisognerebbe ricordarsi ogni volta di aggiungere che gli Stati Uniti d’America hanno mantenuto le loro fino alla seconda metà del Novecento).”(dall’Introduzione di Giuseppe Culicchia)",5,Feltrinelli Editore,284,8807943980,avventura,/copertina libri/HuckFinn.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Jules Verne,Viaggio al centro della Terra,"Viaggio al centro della Terra (titolo originale Voyage au centre de la Terre) è un romanzo fantastico di Jules Verne, pubblicato nel 1864. È uno dei primi romanzi della serie “Viaggi straordinari attraverso i mondi conosciuti e sconosciuti” (oltre sessanta volumi scritti fra il 1862 e il 1905).",5,Giunti Editore,250,8809753844,avventura,/copertina libri/ViaggioAlCentroDellaTerra.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Miguel de Cervantes Saavedra,Don Chisciotte della Mancia,"Il viaggio descritto dal romanzo di Verne è chiaramente un viaggio impossibile, eppure l’autore, considerato uno dei grandi padri della fantascienza, riesce a renderlo quasi credibile e sicuramente appassionante.",5,E-text,432,8897313116,avventura,/copertina libri/DonChisciotte.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Jules Verne,Il giro del mondo in 80 giorni,"Nel lontano 2 ottobre 1872 il londinese Fogg e il francese Passepartout iniziano un viaggio di 80 giorni attorno al mondo per vincere una scommessa di ventimila sterline stipulata con i compagni del Club della Riforma. Passando da Bombay a Hong Kong, da Shangai a San Francisco, Fogg e Passepartout entreranno in contatto con culture e usanze sconosciute, e dovranno affrontare numerosi imprevisti e avversità che ostacoleranno il compimento dell'impresa: a partire dal servitore che si ubriaca e perde i biglietti, per finire con un agente che sorveglia la spedizione convinto di aver riconosciuto in Fogg un famoso ladro, autore di una rapina alla banca d'Inghilterra. Per vincere la scommessa Fogg dovrà infine affittare un battello a vapore con cui attraversare l'Oceano Atlantico. Nonostante il ritardo accumulato la scommessa verrà vinta, non senza un ultimo colpo di scena. Introduzione di Beatrice Masini.",5,Fanucci Editore,225,8834724852,avventura,/copertina libri/IlGiroDelMondoIn80Giorni.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Carlo Collodi,Le Aventure di Pinocchio,"PRAISE FOR THE FIRST EDITION: ""The best English translation.""--Franco Fido, Harvard University ""A literary masterpiece. Perella's translation is excellent and is unlikely to be surpassed.""--Ernesto G. Caserta, Duke University ""The real Pinocchio offers pleasures never hinted at by Disney.... A masterful blend of realism and fantasy.""--Voice Literary Supplement ""Perella's opening essay is no mere 'introduction'; it is the fullest exposition of the novel ever to appear in English.... Enormously rewarding.""--The Pinocchio Catalogue",5,Univ of California Press,498,520246861,avventura,/copertina libri/Pinocchio.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Jonathan Swift,I viaggi di Gulliver,"I viaggi di Gulliver (Gulliver’s Travels) è il capolavoro dello scrittore irlandese Jonathan Swift (1667-1745), uno dei massimi autori satirici in lingua inglese. Il libro, pubblicato inizialmente anonimo nel 1726 1, racconta le disavventure per mare di un medico di bordo, Lemuel Gulliver, che incontra esseri e popolazioni fantastiche su isole immaginarie. ",5,Feltrinelli,392,8807821397,avventura,/copertina libri/IViaggiDiGulliver.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Michael Crichton,Jurassic Park,"From the author of Timeline, Sphere, and Congo, this is the classic thriller of science run amok that took the world by storm. #1 NEW YORK TIMES BESTSELLER “Wonderful . . . powerful.”—The Washington Post Book World An astonishing technique for recovering and cloning dinosaur DNA has been discovered. Now humankind’s most thrilling fantasies have come true. Creatures extinct for eons roam Jurassic Park with their awesome presence and profound mystery, and all the world can visit them—for a price. Until something goes wrong. . . . In Jurassic Park, Michael Crichton taps all his mesmerizing talent and scientific brilliance to create his most electrifying technothriller. “Frighteningly real . . . compelling . . . It’ll keep you riveted.”—The Detroit News “Crichton’s dinosaurs are genuinely frightening.”—Chicago Sun-Times “Full of suspense.”—The New York Times Book Review",5,Ballantine Books,416,307763056,avventura,/copertina libri/JurassicPark.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Henry Rider Haggard,THE WANDERER'S NECKLACE (Medieval Adventure Novel),"Olaf, a Norseman in the eighth century A.D., flees his homeland after challenging the Norse god Odin's right to a human sacrifice, travels to Constantinople (Istanbul, Turkey) to protect the Empress Irene Augusta from her son Constantine the Fifth and other enemies of the Eastern Roman Empire. From Byzantinum, to the pyramid tombs of Upper Egypt, Olaf becomes a traveling Christian who must reject the adulterous advances of Irene. Blinded as punishment for rejecting the Empress, Olaf's adventures are woven within the intrigues of the Eastern Roman Empire. Sir Henry Rider Haggard (1856-1925) was an English writer of adventure novels and dark fantasy stories set in exotic locations, predominantly Africa, and a pioneer of the Lost World literary genre.",5,Musaicum Books,224,8075834356,avventura,/copertina libri/WanderersNecklace.jpg,30,È possibile estendere il prestito per altri 30 giorni.
"Clive Cussler,Craig Dirgo",Golden Buddha,"Captain Cabrillo and his intelligence agents plan to strike a deal with the Russians and Chinese to exchange a golden Buddha containing records of oil reserves for Tibet's freedom, but his enemies will do anything to stop him.",5,Penguin,420,425191729,avventura,/copertina libri/GoldenBuddha.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Jack London,Il richiamo della foresta,"Un romanzo potente e affascinante, che il poeta Carl Sandburg ha definito ""la più grande storia di cani mai scritta, e allo stesso tempo lo studio di uno dei moventi più curiosi e profondi che giochino a rimpiattino dentro l'anima umana"".",5,Edizioni Mondadori,144,8852022007,avventura,/copertina libri/IlRichiamoDellaForesta.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Robert Louis Stevenson,La freccia nera,"La freccia nera / a cura di Edi Vesco ; liberamente ispirato alla serie TV in onda su Canale 5 Pubblicazione Milano : Sperling & Kupfer, 2006 269 p., [8! c. di tav. : ill. ; 22 cm. Collezione · Sperling serial",5,Sperling & Kupfer,269,8873391257,avventura,/copertina libri/LaFrecciaNera.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Joseph Conrad,Lord Jim,"One of Joseph Conrad’s greatest novels, Lord Jim brilliantly combines adventure and analysis. Haunted by the memory of a moment of lost nerve during a disastrous voyage, Jim submits to condemnation by a Court of Inquiry. In the wake of his disgrace he travels to the exotic region of Patusan, and as the agent at this remote trading post comes to be revered as ‘Tuan Jim.’ Here he finds a measure of serenity and respect within himself. However, when a gang of thieves arrives on the island, the memory of his earlier disgrace comes again to the fore, and his relationship with the people of the island is jeopardized. This new Broadview edition is based on the first British edition of 1900, which provides the historical basis for the accompanying critical and contextual discussions. The appendices include a wide variety of Conrad’s source material, documents concerning the scandal of the Jeddah, along with other materials such as a substantial selection of early critical comments.",5,Broadview Press,455,1551111721,avventura,/copertina libri/LordJim.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Patrick O'Brian,Costa sottovento,"Per Jack Aubrey, capitano di fregata della Royal Navy nei primissimi anni dell'Ottocento, al tempo in cui l'Europa è travolta dal turbine di Napoleone, la vera dimensione della vita è sul mare, tra rande, scotte, fiocchi, controvelacci e controvelaccini. Lo sa bene anche il suo amico Stephen Maturin, medico di bordo, un autentico dottor sottile, marinaio per caso e suo malgrado, che ha condiviso con lui ogni avventura. I due, ora che Aubrey è privo di un comando, affittano una residenza nella campagna inglese, dove vivono come tranquilli gentiluomini, tra una caccia alla volpe e una serata musicale. La vita sulla terraferma presenta però insidie assai più temibili di quelle che si possono incontrare sulle navi, specie quando si materializzano nelle attraenti forme di due deliziose fanciulle che fanno breccia nel loro cuore e, nel contempo, creano qualche malinteso nei loro rapporti. Poiché i guai non arrivano mai soli, un grave problema di debiti (mentre Aubrey pensa di essere in credito con la fortuna) costringe i due a una fuga rocambolesca, davvero sotto mentite spoglie. Ma il mare reclama i suoi diritti, e Jack, sventato persino un possibile ammutinamento, si coprirà di gloria contro i francesi e gli spagnoli, prima a bordo della Polychrest (una strana corvetta che sembra stare a galla per scommessa e affonderà senza troppi rimpianti da parte di nessuno) e poi, ottenuta la tanto sospirata promozione, della Lively, una vera e propria signora degli oceani... Dopo il successo di Primo comando, Patrick O'Brian si conferma in questo libro autore di straordinario interesse, non solo per la consueta, minuziosa attenzione ai particolari storici, per la resa tecnicamente ineccepibile degli scontri navali, ma soprattutto per la capacità di ricostruire l'ambiente della marina nell'epoca gloriosa dei velieri, per le intense descrizioni di paesaggio e per l'abilità - sorretta da un umorismo sempre puntuale e garbato, che più inglese di così non si potrebbe - con cui sa restituire la complessa e delicata tessitura psicologica dei personaggi, in particolare quelli femminili.",5,Longanesi,475,8830430102,avventura,/copertina libri/CostaSottovento.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Giorgio Parra,Manuale di ancoraggio,"Un buon ancoraggio è di fondamentale importanza per dormire sonni tranquilli. Una cosa è svegliarsi di notte per un colpo di vento, controllare che tutto sia in ordine e che l'ancora non ari; altra cosa è svegliarsi per lo stesso colpo di vento e dover intervenire per rimediare a una situazione sempre più precaria perché l'ancora non tiene e la barca si sta pericolosamente avvicinando agli scogli. Quando ci si ancora, specialmente se abbiamo intenzione di passare la notte in baia con la barca affidata a quell'ancoraggio, è buona norma prepararsi sempre alla situazione peggiore, come se la notte successiva portasse con sé la burrasca più violenta. Il volume, introdotto da una parte storica, illustra e commenta le varie tecniche e situazioni relative all'ancoraggio e all'ormeggio, e lo fa con un linguaggio accessibile e un ampio ricorso a fotografie, tabelle e grafici. Chiudono il testo un'interessante appendice scientifica sulle forze che si scaricano sugli ancoraggi e un glossario con tutti i termini specifici.",5,HOEPLI EDITORE,169,8820357534,avventura,/copertina libri/ManualeDiAncoraggio.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Clive Cussler,Alta marea,"Per Dirk Pitt, semplicemente, una vita senza avventura non è degna di essere vissuta. Questa volta l’avventura si chiama Qin Shang, un abietto cinese privo di scrupoli e avido di ricchezze che ha fondato il proprio impero sul contrabbando di droga, di armi e soprattutto di vite umane, la sua merce di scambio preferita, al centro di loschi traffici d’immigrazione illegale. E adesso Qin Shang è disposto a qualsiasi cosa pur d’impadronirsi del relitto di una misteriosa nave carica di capolavori dell’antica arte cinese razziati da Chiang Kaishek durante la sua fuga dalla Cina e comprendente i resti preziosissimi del cosiddetto Uomo di Pechino. La formidabile squadra della NUMA, comandata da Dirk Pitt, non ha però alcuna intenzione di stare a guardare. Seguendo le tracce delle criminose attività della sua preda, Pitt scopre che Qin Shang ha costruito un’enorme installazione portuale in una zona lontana dalle comuni rotte commerciali. Perché ha scelto un luogo così improbabile? Che cosa si nasconde dietro quell’impresa? Mentre si prepara la drammatica resa dei conti finale, una sola cosa è sicura: Pitt ha di fronte il più pericoloso nemico che abbia mai incontrato... Ed è altrettanto certo che Clive Cussler, da narratore di razza qual è, ha fatto centro ancora una volta. Coinvolgente, trascinante, pieno di intrighi, ricco di suspense: Alta marea non è soltanto un concentrato di emozioni e colpi di scena, ma molto di più.",5,Longanesi,582,8830441392,avventura,/copertina libri/AltaMarea.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Clive Cussler,Iceberg (Dirk Pitt 2),El hallazgo de un yate en un iceberg provoca una batalla entre el gobierno norteamericano y una organizacións secreta.,5,DEBOLS!LLO,368,8490621861,avventura,/copertina libri/Iceberg.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Alex Shearer,Sea Legs,"From the acclaimed author of ""The Great Blue Yonder"" comes a funny adventure at sea, complete with all kinds of seafaring shenanigans from mistaken identities to incorrigible twin brothers who plan to stow away on their father's three-week cruise.",5,Simon and Schuster,309,689871430,avventura,/copertina libri/SeaLegs.jpg,30,È possibile estendere il prestito per altri 30 giorni.
"Clive Cussler,Robin Burcell",Pirate,"Unstoppable husband and wife team Sam and Remi Fargo face off against an obsessive millionaire hunting for a lost treasure in this adventure in the #1 New York Times-bestselling series When husband and wife treasure hunters Sam and Remi Fargo try something new, a relaxing vacation, a detour to visit a rare bookstore leads to the discovery of a dead body. All signs point to a book in the store that may contain a secret map, an actual, ink-on-paper guide to a historic fortune. The Fargos take up the challenge and find themselves flying from California to Arizona, from Jamaica to England. Racing against a vicious corporate raider with an unhealthy obsession for this particular treasure, Sam and Remi are slowed by a new betrayal at every turn. It can only mean one thing: someone on their team cannot be trusted. Buzzing with the chemistry and wit of Sam and Remi Fargo, Pirate reinvents the classic treasure hunt as only a Clive Cussler adventure can.",5,Penguin,400,399183995,avventura,/copertina libri/Pirate.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Emilio Salgari,Il Corsaro Nero,"A cura di Sergio CampaillaEdizione integrale«Uomini del mare! Uditemi! Io giuro su Dio, su queste onde che ci sono fedeli compagne e sulla mia anima, che non avrò bene sulla terra finché non avrò vendicato i miei fratelli uccisi da Wan Guld! Che le folgori incendino la mia nave; che le onde mi inghiottano assieme a voi; che i due corsari che dormono sotto queste acque, negli abissi del Gran Golfo, mi maledicano; che la mia anima sia dannata in eterno, se io non ucciderò Wan Guld e sterminerò la sua famiglia come egli ha distrutto la mia!». Con questo tremendo giuramento il conte di Ventimiglia, divenuto il Corsaro Nero, uno dei personaggi più suggestivi creati dalla fantasia di Salgari, promette di vendicare la propria famiglia annientata da un crudele nemico. Ma il destino vorrà che la fanciulla amata dal Corsaro Nero...«Una voce robusta, che aveva una specie di vibrazione metallica, s’alzò dal mare ed echeggiò fra le tenebre, lanciando queste parole minacciose: – Uomini del canotto! Alt! O vi mando a picco!...» Emilio Salgari(Verona 1862 – Torino 1911) compì l’apprendistato letterario collaborando a diversi giornali, come «La Nuova Arena», presso cui pubblicò anche i suoi primi racconti. Raggiunse un vastissimo successo di pubblico con una lunga serie di romanzi d’avventura ambientati in paesaggi esotici e centrati su eroi come Sandokan e il Corsaro Nero. Ma gli ultimi anni della sua vita furono tragici: le precarie condizioni economiche, la cattiva salute, la perdita progressiva dell’ispirazione narrativa e infine il ricovero della moglie in manicomio ridussero lo scrittore alla disperazione, fino al gesto drammatico con cui pose termine ai suoi giorni. Di Salgari la Newton Compton ha pubblicato Le Tigri di Mompracem, Il Corsaro Nero e Sandokan. I pirati della Malesia, e nella collana “I Mammut” Tutte le avventure di Sandokan.",5,Newton Compton Editori,420,8854138916,avventura,/copertina libri/IlCorsaroNero.jpg,30,È possibile estendere il prestito per altri 30 giorni.
John Drake,Flint and Silver,"A captivating and original prequel to ""Treasure Island"" that will delight fans of Robert Louis Stevenson's classic as well as fans of those ""other"" pirates of the Caribbean.",5,Simon and Schuster,359,1416592755,avventura,/copertina libri/FlintAndSilver.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Poul Anderson,Brain Wave,"From the multiple Hugo and Nebula Award–winning author: “A panoramic story of what happens to a world gone super intelligent” (Astounding Science Fiction). With “wonderfully logical detail . . . exciting storytelling and moving characterization” (Anthony Boucher), science fiction master Poul Anderson explores what happens when the next stage of evolution is thrust upon humanity and animals. As Earth passes out of a magnetic field that has suppressed intelligence for eons, the mental capacity for all mammals increases exponentially, radically changing the structures of society. A mentally impaired farm worker finds himself capable of more delicate and intelligent thoughts than he ever dreamed. A young boy on holiday manages to discern the foundations of calculus before breakfast. Animals that were seen as livestock and pets can now communicate clearly with their owners and one another. And an already brilliant physics researcher now uses his boundless intellect to bring humankind to the stars—even as his wife plunges into an existential crisis. For all of them, the world will never be the same . . .",5,Open Road Media,212,1504053672,fantascienza,/copertina libri/BrainWave.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Aldous Huxley,Brave New World,"Huxley's bleak future prophesized in Brave New World was a capitalist civilization which had been reconstituted through scientific and psychological engineering, a world in which people are genetically designed to be passive and useful to the ruling class. Satirical and disturbing, Brave New World is set some 600 years ahead, in ""this year of stability, A.F. 632""--the A.F. standing for After Ford, meaning the godlike Henry Ford. ""Community, Identity, Stability,"" is the motto. Reproduction is controlled through genetic engineering, and people are bred into a rigid class system. As they mature, they are conditioned to be happy with the roles that society has created for them. The rest of their lives are devoted to the pursuit of pleasure through sex, recreational sports, the getting and having of material possessions, and taking a drug called Soma. Concepts such as family, freedom, love, and culture are considered grotesque. Against this backdrop, a young man known as John the Savage is brought to London from the remote desert of New Mexico. What he sees in the new civilization a ""brave new world"" (quoting Shakespeare's The Tempest). However, ultimately, John challenges the basic premise of this society in an act that threatens and fascinates its citizens. Huxley uses his entire prowess to throw the idea of utopia into reverse, presenting us what is known as the ""dystopian"" novel. When Brave New World was written (1931), neither Hitler nor Stalin had risen to power. Huxley saw the enduring threat to society from the dark side of scientific and social progress, and mankind's increasing appetite for simple amusement. Brave New World is a work that indicts the idea of progress for progress sake and is backed up with force and reason.",5,RosettaBooks,288,795311257,fantascienza,/copertina libri/BraveNewWorld.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Clifford D. Simak,City (Urania),"In City (già pubblicato su ""Urania"" con il titolo Anni senza fine) assistiamo al lento declino della specie umana, simboleggiata dalla famiglia Webster per innumerevoli generazioni, dall'anno 2000 al 20000. All'abbandono da parte dell'uomo delle città, divenute ormai un relitto di epoche preistoriche. All'inizio della civiltà canina prefigurata da Nathaniel, il primo Cane parlante, che insieme all'altro grande amico dell'uomo, il robot, prepara il mondo di un lontano futuro, quando l'uomo sarà scomparso dalla Terra. Ci sono le pagine grandiose del tentativo di colonizzare Giove, popolato da una razza indescrivibile nella quale l'umanità della Terra si annullerà, e poi la cupa e incomprensibile civiltà delle formiche, volte in silenzio alla conquista del pianeta. Allora i nostri ultimi discendenti si nasconderanno in un mondo spettrale che solo i Cani presentono... Un romanzo epico e visionario, degno erede dei classici di Olaf Stapledon e H.G. Wells.",5,Edizioni Mondadori,280,8852070710,fantascienza,/copertina libri/City.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Italo Calvino,Cosmicomics,Twelve stories by the brilliant Italian author employ the history of science and the poetic imagination to ring changes on the theme and activity of creation,5,Houghton Mifflin Harcourt,153,156226006,fantascienza,/copertina libri/Cosmicomics.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Hayford Peirce,Dinosaur Park,"""Dinosaur Park"" is a loving homage to the works of Jack Vance. Thousands of years from now, the human race has expanded throughout the galaxy, colonizing millions of worlds and creating myriads of bizarre new religious cults and sects. One of these worlds is Stohlson's Redemption, where the human settlers raise dinosaurs for their religious ceremonies. When the ten-year-old Kerryl Ryson creates an unseemly incident that upsets a visiting Important Person, his father is fed to a dinosaur -- as an object lesson in politeness -- and his remaining family are sold into slavery. For sixteen years Kerryl has plotted his revenge. Now, with the aid of a beautiful noblewoman, a time machine, a race of aliens who use the Mesozoic Era of Earth as a setting for adventure videos, and a stampede of ravaging dinosaurs, Kerryl gets his chance to even the interstellar score. But first he has to escape from several death sentences. . . . In fact, he must come back from the dead! ""Space opera took a unique form in the hands of Jack Vance, as he transformed two-fisted swash-buckling to an artistry of pungent, subtle ironies. . . . [Dinosaur Park] is a very faithful effort, chock-a-block with poignant nomenclature, strange lands, and dinosaurs (cf The Dragon Masters), and featuring the requisite grim young hero out for revenge. "" --Locus ""This book is a screamingly funny sendup of Jack Vance's writing style by the author of ' Napoleon Disentimed' and the Chap Foey Rider stories in Analog magazine. If you are a Vance fan, do not miss it!"" -- Raymond's Reviews ""Of all the writers I discovered during my years as an editor, Hayford Peirce is the most original stylist and undoubtedly the one with the wickedest sense of humor."" -- Ben Bova ""Hayford Peirce is debonair, witty, and a keen student of the cosmopolis: all of which is reflected in his writing. He also displays a knack for seizing and holding a reader's attention: certainly he is among the most entertaining of all science-fiction writers."" -- Jack Vance",5,Wildside Press LLC,258,1434412490,fantascienza,/copertina libri/DinosaurPark.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Philip K. Dick,Do Androids Dream of Electric Sheep?,"A masterpiece ahead of its time, a prescient rendering of a dark future, and the inspiration for the blockbuster film Blade Runner--now in a sharp new edition with an introduction by New York Times bestselling author Jason M. Hough By 2021, the World War has killed millions, driving entire species into extinction and sending mankind off-planet. Those who remain covet any living creature, and for people who can't afford one, companies built incredibly realistic simulacra: horses, birds, cats, sheep. They've even built humans. Immigrants to Mars receive androids so sophisticated they are indistinguishable from true men or women. Fearful of the havoc these artificial humans can wreak, the government bans them from Earth. Driven into hiding, unauthorized androids live among human beings, undetected. Rick Deckard, an officially sanctioned bounty hunter, is commissioned to find rogue androids and ""retire"" them. But when cornered, androids fight back--with lethal force. Praise for Philip K. Dick ""The most consistently brilliant science fiction writer in the world.""--John Brunner ""A kind of pulp-fiction Kafka, a prophet.""--The New York Times ""[Philip K. Dick] sees all the sparkling--and terrifying--possibilities . . . that other authors shy away from.""--Rolling Stone",5,Random House Publishing Group,240,345404475,fantascienza,/copertina libri/DoAndroidsDreamOfElectricSheep.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Gordon R. Dickson,Dorsai!,"On the planet Arcadia, a young man and woman and a swamp otter join together to haul the otter's eleven hundred pound statue overland to meet the deadline of a prospective buyer from another planet.",5,Simon and Schuster,115,1627934839,fantascienza,/copertina libri/Dorsai.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Frank Herbert,Dune,"A deluxe hardcover edition of the best-selling science-fiction book of all time--part of Penguin Galaxy, a collectible series of six sci-fi/fantasy classics, featuring a series introduction by Neil Gaiman Science fiction's supreme masterpiece, Dune will be forever considered a triumph of the imagination. Set on the desert planet Arrakis, it is the story of the boy Paul Atreides, who will become the mysterious man known as Muad'Dib. Paul's noble family is named stewards of Arrakis, whose sands are the only source of a powerful drug called ""the spice."" After his family is brought down in a traitorous plot, Paul must go undercover to seek revenge, and to bring to fruition humankind's most ancient and unattainable dream. A stunning blend of adventure and mysticism, environmentalism and politics, Dune won the first Nebula Award, shared the Hugo Award, and formed the basis of what is undoubtedly the grandest epic in science fiction. Penguin Galaxy Six of our greatest masterworks of science fiction and fantasy, in dazzling collector-worthy hardcover editions, and featuring a series introduction by #1 New York Times bestselling author Neil Gaiman, Penguin Galaxy represents a constellation of achievement in visionary fiction, lighting the way toward our knowledge of the universe, and of ourselves. From historical legends to mythic futures, monuments of world-building to mind-bending dystopias, these touchstones of human invention and storytelling ingenuity have transported millions of readers to distant realms, and will continue for generations to chart the frontiers of the imagination. The Once and Future King by T. H. White Stranger in a Strange Land by Robert A. Heinlein Dune by Frank Herbert 2001: A Space Odyssey by Arthur C. Clarke The Left Hand of Darkness by Ursula K. Le Guin Neuromancer by William Gibson For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",5,Penguin,720,143111582,fantascienza,/copertina libri/Dune.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Orson Scott Card,Ender's Game,"This engaging, collectible, miniature hardcover of the Orson Scott Card classic and worldwide bestselling novel, Ender's Game, makes an excellent gift for anyone's science fiction library. “Ender's Game is an affecting novel.""—New York Times Book Review Once again, Earth is under attack. An alien species is poised for a final assault. The survival of humanity depends on a military genius who can defeat the aliens. But who? Ender Wiggin. Brilliant. Ruthless. Cunning. A tactical and strategic master. And a child. Recruited for military training by the world government, Ender's childhood ends the moment he enters his new home: Battle School. Among the elite recruits Ender proves himself to be a genius among geniuses. He excels in simulated war games. But is the pressure and loneliness taking its toll on Ender? Simulations are one thing. How will Ender perform in real combat conditions? After all, Battle School is just a game. Isn't it?",5,Tor Books,448,765394863,fantascienza,/copertina libri/EndersGame.jpg,30,È possibile estendere il prestito per altri 30 giorni.
